,20161119204313,20161119205237,20161119223604,20161119223857,20161119224438,20161119224816,20161119225433,20161119225718,20161119230334,20161119230620,20161119231239,20161119231804,20161119232235,20161119232759,20161119233509,20161119234220,20161119234745,20161119235253,20161120000336,20161120001844,20161120003446,20161120004809,20161120010038,20161120010936,20161120012443,20161120013805,20161120014848,20161120015930,20161120021014,20161120022243,20161120023325,20161120024927,20161120030249,20161120031705,20161120033306,20161120034627,20161120040136,20161120041219,20161120043006,20161120044328,20161120045929,20161120051437,20161120052759,20161120054453,20161120060054,20161120061323,20161120062738,20161120064339,20161120065701,20161120071023,20161120072207,20161120073808,20161120074758,20161120075654,20161120080923,20161120082152,20161120083607,20161120085115,20161120090716,20161120092503,20161120093400,20161120094721
不打粉底不化眼线不带美瞳,474856,466995,446915,445001,447509,449684,448632,448633,449203,449202,436812,434650,425319,423215,411712,402019,400033,385361,364058,315848,285351,222553,192286,175069,156981,125094,108982,93937,78922,67061,55974,39118,33705,27126,24425,19488,17592,16223,13847,13142,12195,11592,11350,10846,10744,10433,10614,11675,12442,13730,15177,17640,19275,21087,23067,24569,26860,27640,28645,29068,29819,31643
林珊珊 结婚,364517,364063,387367,387365,391877,391877,395894,395894,381681,381681,365701,365702,349799,349798,335279,317089,317089,295137,286847,263964,246206,207996,186676,165840,147087,114191,98697,84807,71698,60756,51174,38180,33476,26082,22980,18469,16770,15167,12757,11683,10186,9389,9038,8414,8287,8159,8140,8800,9237,9879,10723,12872,14076,15262,16615,17782,,,38614,39272,38184,42441
陈妍希 素颜,301510,303527,320752,320752,323108,323109,312185,312185,306550,306551,304706,303205,301601,301602,296364,291662,290232,286722,283397,267463,250412,221903,206568,189192,175394,147689,131987,119691,105249,93237,81460,61195,53691,41494,36607,30320,27877,25747,22345,20764,18260,16515,15811,15365,15497,15732,17464,20233,21739,23541,25776,31378,34517,38074,41975,44907,49881,52192,56802,58687,60594,64156
陈学冬受伤,248493,218286,91102,90671,85432,85029,80026,80026,73535,73536,68410,68097,62040,62041,56499,51289,51056,46836,43414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林丹恢复训练,205010,207954,285757,285757,275125,275127,272535,272535,270008,270007,269062,267737,268024,268023,272327,285437,284032,284678,282860,273121,268495,251175,242357,231359,218307,180981,161516,142040,123557,108424,95201,72268,62964,48392,42588,34302,31152,28465,24565,22817,20027,17697,16881,16722,16977,17734,20097,24547,27990,32913,38982,52117,60339,68081,76112,82511,97142,104152,114887,116247,116034,112091
马蓉现身了,203392,200889,102613,102612,99455,99457,96545,96545,93160,93161,91262,90832,88038,88038,86278,84441,84042,80349,76118,69687,65162,55541,50907,45837,40794,33466,30578,27607,24967,22239,19995,16490,15135,12851,11906,10405,9692,9281,8508,8204,7758,7506,7490,7492,7457,7556,7764,8167,8502,8872,,,,,,,,,,,,
2016mma,190381,221769,267844,267842,258405,258405,244242,244244,229947,229949,211021,211020,193127,193125,178772,171125,171126,166366,157687,141329,131032,112634,104727,94425,85053,66688,58785,51360,45586,40532,36684,29137,25990,20764,18390,15299,14034,12764,10998,10246,8872,8309,8074,7527,7432,7275,,,,,,,,,,,,,,,,
色官母女通吃,155100,160026,155582,155580,156220,156220,156183,156183,156046,156047,154024,153278,152652,152651,152072,150227,149504,143656,133416,116382,105462,86276,80051,72504,65342,53197,47121,41732,36875,32357,28179,22339,20294,17262,16046,13983,13129,12613,11712,11572,11565,11607,11878,12496,12953,13451,15212,18205,20593,24010,28245,38797,44650,50322,55160,59379,67176,70618,77111,79219,80369,84411
我只喜欢张继科,153322,153165,97410,97412,97781,97782,96717,96717,95498,95497,95916,95460,93937,93937,92892,91105,90675,87398,84035,75104,70108,59372,53744,48302,44354,35931,32141,28677,25367,22372,19699,16043,14508,12062,11200,9707,9191,8807,8196,7925,7536,7294,7243,7246,7354,7467,7973,8815,9561,10525,11730,14877,16969,18882,20748,22447,25567,26681,29102,30040,31077,33307
女子给小三下跪哀求,148574,166092,299049,299049,321745,321745,334861,334861,348238,348238,364763,362964,377480,377480,386567,395859,393907,405310,418503,482936,498496,486138,466342,416967,372581,296650,261269,229874,201354,176382,154842,120899,107752,86274,77821,63366,57359,52527,44422,41622,37425,34531,33694,33537,34142,35561,41269,52219,60790,71452,85269,118136,137357,156385,175469,192941,226819,240208,263086,268417,273062,280852
胡可 沙溢,146501,141741,125842,125842,132286,132286,137736,137074,141152,140470,143724,143032,145997,145294,146242,144880,144183,142917,138413,124895,114986,97016,89778,82278,73540,58653,52787,46617,41087,37067,32880,26210,23500,19002,16978,13680,12455,11298,9665,9147,8190,7607,7522,7440,7430,7467,7579,8013,8408,9007,9700,11890,13473,15046,16963,18887,21952,23354,26514,27525,28427,29639
乘客没吃早饭在高铁上煮粥,144534,156114,203017,203015,202407,202409,201334,201334,200164,200162,199655,198683,197167,197168,198245,205988,204982,211204,214267,214281,209978,188022,176356,164122,152842,135128,128478,122662,116499,111486,106666,88441,79311,64704,58316,48082,43697,39639,33159,30562,26871,25087,24597,24477,24853,25807,29570,37202,42852,50102,59226,81734,94616,107855,121162,133922,156867,165685,178949,182148,185389,189865
谢杏芳个性签名含深意,129187,119613,92821,92820,85407,85407,91045,91047,91091,91092,84594,84196,90715,90717,84179,92336,91899,85263,91250,89176,81574,74217,73315,64013,62462,52147,44499,42089,35554,33234,28504,23580,22531,19109,16793,14257,13799,12526,11560,10961,10113,9492,9368,9260,9318,9442,9821,10927,11727,12752,13757,15657,16925,18181,19102,20384,22959,24072,26165,26945,28088,31327
婴儿刚出生神奇的一幕,98650,93564,88567,88566,87448,87448,86339,86339,85967,85968,84246,83847,83061,83061,82517,82230,81845,80886,78926,75475,71708,62799,57663,53012,48827,41494,37647,34204,30707,27457,24787,20562,18826,16399,15290,13529,12711,11957,10884,10424,9827,9472,9372,9477,9698,10008,11208,13377,15047,17168,19654,25791,29620,33650,37753,41467,48036,50692,55232,56757,58165,60429
回娘家就是给家里丢脸,80589,75503,63157,63158,61537,61537,59969,59969,58753,58752,57752,57487,55552,55550,54021,53361,53119,52719,51408,46791,43765,37272,35013,32947,30567,26327,24325,22114,20139,18327,16712,14270,13288,11517,10980,9995,9497,9224,8561,8288,7929,7747,7707,7673,7757,7785,8105,8767,9343,10257,11208,13502,14825,16215,17704,19372,22676,24054,26340,27027,27913,30099
冰淇淋的生产过程,78195,75416,79773,79772,78887,78888,78355,78355,77893,77892,77796,77432,75333,75332,73446,72610,72273,70115,68384,63907,60297,53564,49828,46234,43071,36811,33175,30015,26997,24077,21480,17552,15936,13131,12087,10600,10117,9668,8814,8538,8172,8049,8034,8027,8177,8308,8756,9494,9941,10599,11522,13721,14901,16139,17358,18540,20819,,,,,
董力 回应,70489,69059,75259,75257,75367,75368,75342,75342,74697,74696,74397,74051,74460,74462,72450,71037,70707,68466,66457,59883,56952,50881,47235,43413,39631,32602,29237,26143,23341,20842,18570,15200,13948,11823,11105,9869,9267,8950,8421,8207,7823,7564,7517,7488,7430,7495,7672,8055,8428,8912,9531,,,,,,,,,,,
乌龟从30楼摔下,69567,63637,36722,36721,36147,36147,35660,35660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小亮仔,67872,66404,60712,60712,61385,61385,61642,61644,61032,61032,60592,60313,59321,59321,58392,58008,57743,57740,56862,53004,49498,42407,38396,34342,31172,26108,23542,21677,19956,18261,16711,14358,13512,11801,11105,9711,9126,8732,8021,7799,7397,7185,7171,7197,7210,7297,7692,8501,9197,10207,11323,14382,16171,18087,19871,21537,24687,26252,28992,29822,30611,31559
敲可爱的小草莓,57967,56387,48314,48312,47122,47120,45995,45996,44777,44775,43381,43188,42047,42046,40831,40572,40395,40163,40173,40094,39072,37111,35535,33546,31503,27649,25437,22773,20131,18077,16352,13645,12802,11523,10974,9727,9077,8512,7917,7675,7397,7094,6975,6812,6835,6969,,,,,,,,,,,,,,,,
张曼玉谢霆锋,50759,49301,40492,40490,39654,39653,39320,39320,38144,38143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
来一次说剪就剪的短发,48373,46434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王中磊 王思聪,48039,45302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金毛指控泰迪做错了事,47472,45567,40642,40644,41337,41337,42112,42110,42767,42765,42255,42068,42005,42006,41501,41214,41032,40237,39450,38652,37925,36390,33537,30597,28000,23100,20837,20299,19576,18532,17192,14791,13743,11890,11146,9937,9426,8942,8362,8057,7729,7515,7392,7403,7482,7580,8068,8705,9290,10062,10877,12952,14071,15425,16712,18212,21222,22907,25907,26060,,
袁隆平双季稻破世界纪录,46855,47093,33797,33798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9岁哥哥闪电出手抱住他,45889,41732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其实李光洙真的很帅,45477,44003,37307,37306,38450,38450,39786,39787,40778,40777,41800,41617,41687,41688,42322,42482,42294,42379,42361,41532,40124,,34107,30421,27388,23586,22036,19939,19398,18553,17189,14169,12972,11121,,9060,8535,8110,7453,7287,7194,6916,6844,6782,6840,6902,7222,7732,8131,8800,9587,11534,,,,,,,,,,
妆前妆后对比照,44359,43172,37742,37741,36607,36606,36085,36086,36988,36987,38612,38444,40830,40830,43603,47812,47601,50357,51181,49522,45997,40583,38059,34826,32121,27742,25717,23456,21342,19409,17690,14736,13607,11783,10977,9685,9147,8751,8182,7910,7569,7329,7182,7102,7107,7128,7411,7907,8301,8827,,,,,,,,,,,,
大张伟,43756,44662,39081,39082,37927,37926,37354,37352,37369,37367,37928,37764,38029,38027,38965,39976,39804,39646,39425,37699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈伟霆,43008,41953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
送给腿粗的姑娘们,41954,40977,38276,38276,39817,39819,42065,42066,43348,43347,44719,44521,45729,45729,46554,46935,46725,46423,46798,46632,45428,41397,39006,36077,33149,28465,26041,23394,21287,19190,17411,14332,13121,11227,10648,9663,9258,8925,8164,7795,7257,7052,7028,7132,7150,7218,7357,7943,8383,9020,9926,11744,12822,,,,,,,,,
狐妖小红娘,41344,40892,36817,36818,35728,35729,34951,34951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
说了分手就能不见面,39432,46605,92282,92280,93062,93062,92580,92580,90833,90833,88802,88383,85540,85540,82129,80308,79931,77970,75959,71209,68545,60997,56307,52116,47878,40670,37032,33315,29836,26770,24300,20175,18727,15993,14863,12982,12392,11883,10891,10503,10125,9944,10076,10521,10772,11197,12601,15964,18335,21074,24328,31337,34870,38907,43172,46989,54582,57583,62237,63789,64864,66962
周涛调入北京演艺集团,37850,43713,53030,53032,54587,54587,53849,53848,53168,53168,52214,51977,51455,51455,50414,48540,48323,47697,46553,42775,41001,36418,33505,30684,27447,22612,,18537,16310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单身的女孩不要着急,35433,33374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈奕迅的发际线居然这么高,35132,44762,117919,117918,121575,121576,126586,126587,129076,129075,131907,131270,131734,131733,165392,164817,164019,163075,129412,120717,111570,97048,89738,79940,74861,64686,57808,52471,46065,42594,37994,31012,28708,24079,22038,18645,17197,15988,14128,13525,12697,12494,12284,11938,11867,11961,12708,14835,16147,18112,20537,26541,30070,34386,38913,43216,51314,55076,60315,61669,62676,63665
林珊珊是谁,33351,32764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田亮恐高,29006,27960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国式吃货的总结,29004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胸小的姑娘脾气都特大,29001,38107,95327,95327,94895,94895,95366,95365,97025,97027,98538,98070,99690,99690,101407,101890,101408,101057,100162,94507,88492,76649,69250,61926,55645,44313,38933,34892,31425,28066,25055,20041,18139,14779,13487,11619,10964,10476,9802,9462,9014,8800,8700,8599,8613,8705,9187,10242,11057,12048,13363,16589,18361,20599,23120,25722,32963,36714,43357,45970,48391,51869
杨幂 爱的供养,28473,28302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非常完美,28130,28256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
决定孩子一生的不是成绩,27788,30951,53057,53057,52374,52372,51097,51097,49279,49278,47539,47327,45019,45017,43895,42699,42512,42212,42192,41659,40137,,33817,30122,27112,23401,21875,19904,19315,18390,16909,13895,12721,11159,10475,9453,9130,8708,7968,7676,7332,7104,7121,7067,7164,7295,7695,8622,9227,9957,10977,12920,13952,15049,16436,18006,21361,23360,26222,26889,27859,
年轻时候颜值有多高,27671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提高女性厕位比例,27329,28210,39377,39379,40394,40393,41381,41380,41023,41024,40774,40595,40631,40631,40604,41167,40988,41432,42356,42032,40722,36557,34079,31938,29537,25127,22799,20690,18828,17112,15712,13872,12860,11276,10661,9537,9045,8638,7962,7700,7360,7192,7163,7127,7192,7277,7669,8242,8694,9365,10241,12274,13490,14718,16272,17887,,,,,,
四级口语,25636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄致列,25612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马浩东,24532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王嘉尔,,33068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快乐大本营,,28234,44306,44307,48592,48591,54923,54923,59873,59873,59163,58891,55426,55425,52616,51280,51049,49426,48362,44812,42523,39219,37197,35027,32723,27607,24666,21875,19897,18230,16645,13997,13154,11467,10692,9656,9147,8821,8118,7807,7331,7054,7017,7053,7098,7269,7667,8325,8912,9727,10632,13434,15149,16846,18438,20033,23087,24470,27274,27965,28614,28909
王鸥,,28147,337688,337689,399955,399957,473964,478350,622264,619654,839747,837068,1026183,1027565,1207475,1353861,1349525,1455690,1461224,1277620,1169758,973970,879467,781568,695165,548194,479636,416932,361924,319556,276261,216104,189344,149312,133134,110618,102622,91689,80200,74886,68127,65596,63069,67452,69912,69184,84408,110350,127118,154082,185677,258352,297107,332652,371232,407645,468815,493780,538205,548541,560441,576641
blackpink,,28079,73045,73045,73635,73637,74278,74278,74855,74856,75514,75162,74657,74659,73195,71802,71470,69646,68347,63338,59627,51162,46413,41542,37883,31084,28242,25347,22672,20303,18138,14837,13792,11959,11205,9979,9487,9066,8335,8117,7564,7276,7210,7062,7087,7132,7341,7978,8432,9007,9695,11748,12888,14290,,,,,,,,
网恋美女是男人,,27631,53175,53176,53271,53272,52695,52695,53212,53212,53761,53517,54030,54031,54454,54237,53994,53438,52962,51305,49303,45939,43477,40460,37303,31302,28264,25437,23013,20867,18992,16033,14748,12687,11834,10218,9735,9366,8646,8311,7960,7882,7847,7938,8008,8128,8498,9205,9781,10385,11314,13989,15673,17313,18898,20151,22648,23612,,26795,,
小张月底就要结婚了,,,91228,91221,90070,87487,92571,92325,90690,90582,91025,90707,88035,88037,86880,86705,86172,85255,89382,93393,88482,85764,78286,69164,65117,55580,50823,42867,37587,33086,29572,23632,21467,17664,16339,13832,12887,12212,10914,10442,9794,9306,9057,8847,8870,8966,9423,10574,11502,13296,15029,17137,18889,20892,23102,25297,32342,36102,42710,44832,48071,51285
大学生被实习,,,74962,74962,85179,85179,91453,90815,90366,90107,90663,90282,88030,88033,86601,85677,85017,85197,80998,76452,73586,66742,62467,57671,53062,43225,38187,33372,28626,24895,21502,16080,14347,11507,10475,,8242,,,,,,,,,,,,,,,,,,,,,,,,,
邢晓瑶,,,66642,66642,86432,86432,100344,100342,115022,115024,133092,132450,153565,153566,166257,178897,178026,185606,189762,183997,176934,153217,137107,120963,110048,90272,80602,71192,63026,56035,50012,40405,36939,31430,29067,24845,22570,20546,17617,16610,15236,14377,14130,14202,14463,14921,17001,22331,27466,33656,43133,71524,87162,102706,118969,133838,157037,168585,191258,198783,206716,217678
你一定要等我长大,,,64735,64735,72417,72415,78672,78672,82924,82923,90202,89791,88030,88031,86317,85380,84803,85184,81448,76182,72411,64111,58897,54308,49022,39996,35617,31282,27430,24080,21406,17068,15663,12942,11772,10046,9361,8873,8271,8011,7733,7561,7588,7863,8019,8254,9076,10555,11382,13177,14842,16760,18442,20657,23067,24617,31871,33700,36476,37375,37873,38288
电视剧狐狸的夏天,,,63222,63223,76522,76523,85668,85668,89669,89672,90534,89948,88032,88035,86648,85988,85507,85218,87127,82682,77354,65906,60742,54903,49954,40707,36102,31903,28243,24926,22047,17633,15667,12976,11970,10392,9970,9411,8627,8277,7677,7521,7452,7522,7723,7957,8707,10133,11138,12455,14287,16605,18562,20727,23078,24746,32006,35509,39939,40592,40768,41222
魔卡少女樱,,,39296,39297,40864,40863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滕雨佳,,,39215,39215,45077,45077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王健林呼吁解决空气污染,,,38277,38278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ikon,,,38007,38007,,,,,,,37557,37397,39389,39387,39473,39328,39155,,40926,45035,44985,38417,35045,34949,34056,29411,27052,24599,22079,19566,17321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怎样抱宝宝最舒服,,,37417,37417,37265,37265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钱夫人,,,,,45674,45672,53774,53772,68949,68947,96294,95839,118090,118091,144403,164087,163287,181505,194668,198095,185109,174154,167263,156145,141484,119229,109785,102879,97693,93180,88663,78982,73052,61722,57450,47391,43017,39175,33378,31326,29400,28411,28291,28237,29082,29951,35497,46107,53452,63366,75801,106911,124472,142358,160455,177157,208488,222131,245535,252578,257715,266577
锦绣未央李未央 李敏德,,,,,39050,39050,37847,37847,37562,37562,47111,46901,69871,69870,86421,86247,85678,85224,88871,85111,87833,77082,69534,67994,63427,53739,49256,42752,37257,32666,29102,23662,21458,17271,16202,13798,12734,12002,10910,10438,9772,9240,9060,8788,8802,8946,9368,10583,11488,13273,15007,17242,18958,20953,23130,25367,32595,36262,42483,44535,48058,50913
曼联,,,,,36377,36377,35307,35305,37084,37084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非诚勿扰,,,,,,,38339,38337,37756,37757,41080,40900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大金,,,,,,,36177,36178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
