,20161120200747,20161120202531,20161120204221,20161120205446,20161120210711,20161120212548,20161120214423,20161120215501,20161120220444
防弹少年团抄袭,0,0,0,0,0,0,2,2,2
南韩碰瓷王,1,1,1,1,1,1,0,0,0
今日贴纸打卡,2,2,2,2,2,2,1,1,1
易烊千玺1128十六岁生日快乐,3,3,3,3,3,3,4,4,4
恋上冬日,4,4,9,9,9,9,,,
缅北武装冲突,5,5,,,,,,,
蓝色大海的传说,6,6,5,5,5,5,3,3,3
厉害了我的exo,7,7,4,4,4,4,12,12,12
我的照片会发光,8,8,11,11,11,11,,,
亚洲新歌榜,9,9,,,,,,,
炎亚纶1120生日快乐,10,10,,,,,,,
陈伟霆1121生日快乐,11,11,,,,,,,
电影我不是潘金莲,12,12,,,,,,,
如果蜗牛有爱情,13,13,6,6,6,6,9,9,9
林丹出轨,14,14,12,12,12,12,8,8,8
我不是潘金莲,,,7,7,7,7,6,6,6
遮遮遮,,,8,8,8,8,5,5,5
蒙面唱将猜猜猜,,,10,10,10,10,7,7,7
冬季美食趴,,,13,13,13,13,11,11,11
张艺兴losecontrol,,,14,14,14,14,10,10,10
和局座说悄悄话,,,,,,,13,13,13
我的心情日记,,,,,,,14,14,14
,,,,,,,,,
防弹少年团抄袭,7960,8012,8058,8093,8129,8182,8234,8265,8294
南韩碰瓷王,2131,2165,2194,2217,2239,2272,2306,2329,2347
今日贴纸打卡,400000,400000,400000,400000,400000,400000,400000,400000,400000
易烊千玺1128十六岁生日快乐,150000,150000,150000,150000,150000,150000,150000,150000,150000
恋上冬日,7988,8002,8015,8024,8034,8050,,,
缅北武装冲突,8,9,,,,,,,
蓝色大海的传说,100000,100000,100000,100000,100000,100000,100000,100000,100000
厉害了我的exo,554,575,594,608,622,642,666,680,691
我的照片会发光,50000,50000,50000,50000,50000,50000,,,
亚洲新歌榜,2010000,2010000,,,,,,,
炎亚纶1120生日快乐,10000,10000,,,,,,,
陈伟霆1121生日快乐,30000,30000,,,,,,,
电影我不是潘金莲,110000,110000,,,,,,,
如果蜗牛有爱情,250000,250000,250000,250000,250000,250000,250000,250000,250000
林丹出轨,250000,250000,250000,250000,250000,250000,250000,250000,250000
我不是潘金莲,,,50000,50000,50000,50000,50000,50000,50000
遮遮遮,,,20000,20000,20000,20000,20000,20000,20000
蒙面唱将猜猜猜,,,110000,110000,110000,110000,110000,110000,110000
冬季美食趴,,,20000,20000,20000,20000,20000,20000,20000
张艺兴losecontrol,,,230000,230000,230000,230000,230000,230000,230000
和局座说悄悄话,,,,,,,763,795,822
我的心情日记,,,,,,,50000,50000,50000
